date,price,open,high,low,volume,relative_change
1986-11-30,242.2,249.2,254.9,241.3,,-0.0281
1986-10-31,249.2,244,249.2,235.5,,0.0213
1986-09-30,244,231.3,244.5,231.3,,0.0549
1986-08-31,231.3,252.9,254.1,228.1,,-0.0854
1986-07-31,252.9,236.1,254.2,231.9,,0.0712
1986-06-30,236.1,250.8,253.2,233.1,,-0.0586
1986-05-31,250.8,247.3,251.8,238.2,,0.0142
1986-04-30,247.3,235.5,249.2,232.3,,0.0501
1986-03-31,235.5,238.9,245.5,226.3,,-0.0142
1986-02-28,238.9,226.9,240.1,222.2,,0.0529
1986-01-31,226.9,211.8,227.9,210.8,,0.0713
1985-12-31,211.8,211.3,214.6,202.6,,0.0024
1985-11-30,211.3,202.2,213.1,200.1,,0.045
1985-10-31,202.2,189.8,203.4,189.4,,0.0653
1985-09-30,189.8,182.1,190.2,181.2,,0.0423
1985-08-31,182.1,188.6,188.8,179.4,,-0.0345
1985-07-31,188.6,190.9,192.2,186.1,,-0.012
1985-06-30,190.9,191.8,196.1,189.3,,-0.0047
1985-05-31,191.8,189.6,191.8,185,,0.0116
1985-04-30,189.6,179.8,190,178.3,,0.0545
1985-03-31,179.8,180.7,183.6,177.9,,-0.005
1985-02-28,180.7,181.2,183.9,176.5,,-0.0028
1985-01-31,181.2,179.6,183.9,177.8,,0.0089
1984-12-31,179.6,167.2,180.3,163.4,,0.0742
1984-11-30,167.2,163.6,169,161.5,,0.022
1984-10-31,163.6,166.1,170.4,163,,-0.0151
1984-09-30,166.1,166.1,169.6,160,,0
1984-08-31,166.1,166.7,169.7,163.1,,-0.0036
1984-07-31,166.7,150.7,168.8,150.7,,0.1062
1984-06-30,150.7,153.2,153.9,147.3,,-0.0163
1984-05-31,153.2,150.6,155.6,148.5,,0.0173
1984-04-30,150.6,160.1,162.1,148.7,,-0.0593
1984-03-31,160.1,159.2,160.7,154.1,,0.0057
1984-02-29,159.2,157.1,160.5,153.8,,0.0134
1984-01-31,157.1,163.4,164,152.1,,-0.0386
1983-12-31,163.4,164.9,169.5,162,,-0.0091
1983-11-30,164.9,166.4,167.8,160.6,,-0.009
1983-10-31,166.4,163.6,169.1,160.6,,0.0171
1983-09-30,163.6,166.1,173.1,162,,-0.0151
1983-08-31,166.1,164.4,171.6,162.8,,0.0103
1983-07-31,164.4,162.6,166.7,157.6,,0.0111
1983-06-30,162.6,168.1,171.7,160.6,,-0.0327
1983-05-31,168.1,162.4,172.8,160,,0.0351
1983-04-30,162.4,164.4,167.7,159.7,,-0.0122
1983-03-31,164.4,153,165.4,149.5,,0.0745
1983-02-28,153,148.1,156.4,144.8,,0.0331
1983-01-31,148.1,145.3,151.8,141,,0.0193
